timestamp,method,reason,site,parameter,regime
2025-08-20 18:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 18:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 18:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-20 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 10:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 10:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 11:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 11:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 11:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 12:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 12:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 13:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 13:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 13:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 14:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 14:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 14:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 15:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 15:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 16:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 16:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 16:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 17:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 17:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 17:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 18:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 18:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 18:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-21 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-22 11:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-22 11:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-22 11:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-22 12:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-29 12:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-29 12:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-09-17 14:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-09-17 14:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-09-17 15:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-09-17 15:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-09-17 15:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-09-17 15:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-09-17 16:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-14 12:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-14 12:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-14 12:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-14 12:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-14 13:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-17 15:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-17 16:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-17 16:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-17 16:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-22 18:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-22 18:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-22 18:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-22 18:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-23 11:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-23 11:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
